Product	UserFriendly	PayRollAcrualsNotMatching	PerfectAttendance	CustomExceptions	ConsecutiveOccurance	UnifiedPlatform	GT400
Perform	.9	1	0	0	0	1	.1
Perform	.9	1	0	0	0	1	.1
Perform	.9	1	1	0	0	1	.1
Perform	.7	1	1	0	0	1	.1
Perform	.8	1	1	0	0	1	.2
Perform	.6	1	1	0	0	1	.3
Perform	.9	1	0	1	1	1	.4
Perform	.7	1	0	0	1	1	.5
Perform	.6	1	0	0	1	1	.3
Perform	.6	1	0	0	1	1	.3
Perform	.6	1	0	0	1	1	0
Perform	.5	1	0	0	0	1	.1
Perform	.8	1	0	0	0	1	.2
Perform	.8	1	0	0	0	1	.3
Perform	.9	1	0	1	0	1	.4
Perform	.9	1	0	1	0	1	.5
Perform	.9	1	0	1	0	1	.1
Perform	.5	1	0	1	0	1	.1
Perform	.7	1	0	1	0	1	.1
Perform	.6	1	0	0	0	1	.1
Perform	.8	1	0	0	0	1	.2
Perform	.7	1	0	0	0	1	.3
Perform	.8	1	0	0	0	1	.4
Perform	.2	1	0	0	0	1	0
Perform	.1	1	1	0	0	1	0
Perform	.5	1	1	0	0	1	0
Perform	.6	1	0	0	0	1	0
Perform	.1	1	0	0	0	1	0
Perform	.1	1	0	0	0	1	0
TOD	.1	0	1	1	1	0	1
TOD	.2	0	1	1	1	0	1
TOD	0	0	1	1	1	0	1
TOD	0	0	1	1	1	0	1
TOD	0	0	1	1	1	0	1
TOD	.1	0	1	1	0	0	.9
TOD	.2	0	1	1	0	0	.8
TOD	.3	0	1	1	0	0	.8
TOD	.4	0	0	1	1	0	.5
TOD	.3	0	0	1	1	0	.5
TOD	.1	0	0	1	1	0	.6
TOD	0	0	0	1	1	1	.8
TOD	0	1	1	0	1	1	.7
TOD	0	1	1	1	1	1	.6
TOD	0	1	1	1	1	0	.7
TOD	0	1	1	0	1	0	.8
TOD	0	0	1	0	1	0	.6
TOD	0	0	1	0	1	0	1
TOD	0	0	1	1	1	0	1
TOD	0	0	1	1	1	0	1
